product_id,url,name,current_price,original_price,image,unit,in_stock
"B0CZRXXVHX","https://www.amazon.in/dp/B0CZRXXVHX","Petcrux Chicken & Cranberry Dog Treats, 90g","236.00","236.00","https://m.media-amazon.com/images/I/61lGW8FkdZL._SY450_.jpg","90 g","Out of Stock"
"B0D9GVLVPF","https://www.amazon.in/dp/B0D9GVLVPF","Petcrux Reusable Pet Hair Remover Lint Roller Lint Remover for Pet,Clothes,Furniture,Sofa,Carpets,Car Seat,Bedding Hair Remover","281.39","899","https://m.media-amazon.com/images/I/510IB0sO2IL._SY450_.jpg","170 g","In Stock"
"B0FXXH939J","https://www.amazon.in/dp/B0FXXH939J","PetCrux Earthy Clump Cat Litter 5Kg 100% Natural Bentonite Odour Lock Rose Scented Clay Dust Free Trial or Travel or Single Pack Absorbent Eco-Friendly Sand for All Breeds of Cats (Pack of 3)","897.00","897.00","https://m.media-amazon.com/images/I/51YEeYt1RBL._SY450_PIbundle-3,TopRight,0,0_AA450SH20_.jpg","15 kg","In Stock"
"B0FXXHH4SN","https://www.amazon.in/dp/B0FXXHH4SN","Petcrux Tofu Cat Litter | Natural Flushable Clumping Litter | Plant Based Biodegradable | Ultra Odour Control | Dust Free | Low Tracking Cat Litter 6 L - 2.5 Kg (Corn) (Pack of 3)","2097.00","2097.00","https://m.media-amazon.com/images/I/51VB+tUJ9mL._SY450_PIbundle-3,TopRight,0,0_AA450SH20_.jpg","7 kg 500 g","In Stock"
"B09LSF297B","https://www.amazon.in/dp/B09LSF297B","PetCrux Premium Acrylic Wall Mounted Aquarium Fish Bowl/Wall Planter for Home Decor (9 inches, Aqua Green, Rust Resistant)","496.00","999","https://m.media-amazon.com/images/I/51qW93QQxWL._SY450_.jpg","200 g","In Stock"
"B0FXXGJGPT","https://www.amazon.in/dp/B0FXXGJGPT","PetCrux Earthy Clump Cat Litter 5Kg 100% Natural Bentonite Odour Lock Rose Scented Clay Dust Free Trial or Travel or Single Pack Absorbent Eco-Friendly Sand for All Breeds of Cats (Pack of 4)","1196.00","1196.00","https://m.media-amazon.com/images/I/51wfScqDAiL._SY450_PIbundle-4,TopRight,0,0_AA450SH20_.jpg","20 kg","In Stock"
"B0D66J1HPT","https://www.amazon.in/dp/B0D66J1HPT","Petcrux Cat Treats Gift Box for All Life Stages, Nutritious & Delicious, Chicken & Mutton Flavour, Rich in Protein, Perfect for Training, Rewards & Snacks, Human Grade Ingredients, Pack of 4,70gm Each","489.00","600","https://m.media-amazon.com/images/I/81ZmsVE3GaL._SY450_PIbundle-4,TopRight,0,0_AA450SH20_.jpg","280 g","In Stock"
"B0D8J4YV76","https://www.amazon.in/dp/B0D8J4YV76","Petcrux Interactive Toy for Cats & Dogs","1399.00","1399.00","https://m.media-amazon.com/images/I/61c9DeadbsL._SY450_.jpg","275 g","Out of Stock"
"B0FXXKBTQQ","https://www.amazon.in/dp/B0FXXKBTQQ","Petcrux Adult Dog Food Chicken & Rice, Complete Balanced Food for Adult Dogs, 3Kg (Pack of 3)","1197.00","1197.00","https://m.media-amazon.com/images/I/613HeW6Sq8L._SY450_PIbundle-3,TopRight,0,0_AA450SH20_.jpg","9 kg","In Stock"
"B0FXXHHLGN","https://www.amazon.in/dp/B0FXXHHLGN","Petcrux Adult Dog Food Chicken & Rice, Complete Balanced Food for Adult Dogs, 3Kg (Pack of 4)","1596.00","1596.00","https://m.media-amazon.com/images/I/61vqP5M66FL._SY450_PIbundle-4,TopRight,0,0_AA450SH20_.jpg","12 kg","In Stock"
"B0CR69GWRR","https://www.amazon.in/dp/B0CR69GWRR","Petcrux Premium Clamp Poop Scooper For Pet Waste, Cleaner & Picker Potty Scooper, High Strength Material, and Durable Spring for Easy Grass and Gravel Pick Up Puppies & Small Breed - Medium","177.39","177.39","https://m.media-amazon.com/images/I/618YxSD6hhL._SY450_.jpg","200 g","Out of Stock"
"B0D8J8JQ8J","https://www.amazon.in/dp/B0D8J8JQ8J","Petcrux Bird Food Foxtail Millets, 0.5kg","132.50","199","https://m.media-amazon.com/images/I/61NfLGkiwgL._SY450_.jpg","500 g","In Stock"
"B0CZRWH8W5","https://www.amazon.in/dp/B0CZRWH8W5","Petcrux Chicken Breast Jerkey with Tuna Dog Treats, 90g","133.25","340","https://m.media-amazon.com/images/I/610-NIE1RYL._SY450_.jpg","90 g","In Stock"
