product_id,asin,name,unit,current_price,original_price,in_stock,image,url
"726165","726165","Pepe Jeans Innerfashion Straight Fit Track Pants (Black)","1 piece","899","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/400ec92b-7505-443e-9dc3-cfcb0fee1a7c.png","https://blinkit.com/prn/pepe-jeans-innerfashion-straight-fit-track-pants-black/prid/726165"
"726341","726341","Pepe Jeans Innerfashion Women's Active Track Pants (Blue)","1 piece","899","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/7bdc6195-7da5-4132-bcde-a316e5fb5d7b.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-active-track-pants-blue/prid/726341"
"726347","726347","Pepe Jeans Innerfashion Women's Track Pants (Blue)","1 piece","899","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/3a7e7359-aa5f-456a-9a0c-e817b90f701b.png","https://blinkit.com/prn/pepe-jeans-innerfashion-womens-track-pants-blue/prid/726347"
"582526","582526","Pepe Jeans Innerfashion Aurora Kids Socks (Pink, White, 1 - 2 years)","1 pack (3 pairs)","399","499","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/b7888beb-57a8-4314-8e32-44b3a09092b7.png","https://blinkit.com/prn/pepe-jeans-innerfashion-aurora-kids-socks-pink-white-1-2-years/prid/582526"
"525712","525712","Pepe Jeans Innerfashion Basic Everyday Cotton Men's Vest (White)","1 unit","489","549","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/22a3ae85-bd13-4bb9-94fd-e1144f07a047.png","https://blinkit.com/prn/pepe-jeans-innerfashion-basic-everyday-cotton-mens-vest-white/prid/525712"
"534003","534003","Pepe Jeans Innerfashion Breezy Cotton Men's Shorts (Black Melange)","1 unit","719","1199","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/d5ba5bde-bd98-4403-ab9d-e6a393434900.png","https://blinkit.com/prn/pepe-jeans-innerfashion-breezy-cotton-mens-shorts-black-melange/prid/534003"
"524983","524983","Pepe Jeans Innerfashion Breezy Cotton Men's Shorts (Black)","1 unit","679","1199","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/72403c37-f065-443e-8b5b-82cd6512071c.png","https://blinkit.com/prn/pepe-jeans-innerfashion-breezy-cotton-mens-shorts-black/prid/524983"
"698648","698648","Pepe Jeans Innerfashion Breezy Cotton Men's Shorts (Grey Melange)","1 unit","699","1199","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/993f7bac526a4b5083c8178aa866a270.png","https://blinkit.com/prn/pepe-jeans-innerfashion-breezy-cotton-mens-shorts-grey-melange/prid/698648"
"698410","698410","Pepe Jeans Innerfashion Breezy Cotton Men's Shorts (Grey Melange)","1 piece","699","1199","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/ad2e724969204e2f9ab0264bfb20c383.png","https://blinkit.com/prn/pepe-jeans-innerfashion-breezy-cotton-mens-shorts-grey-melange/prid/698410"
"534225","534225","Pepe Jeans Innerfashion Everyday Men's Briefs (Black)","1 pack (2 pieces)","439","479","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/021611d1-9794-4254-9151-dd2074a2c59b.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-briefs-black/prid/534225"
"525005","525005","Pepe Jeans Innerfashion Everyday Men's Briefs (Charcoal Melange)","1 pack (2 pieces)","429","479","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/f97c6af3-23de-4a10-8314-dc219b6d798d.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-briefs-charcoal-melange/prid/525005"
"524971","524971","Pepe Jeans Innerfashion Everyday Men's Briefs (True Blue)","1 pack (2 pieces)","449","479","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/1428e811-54fa-4625-a548-7fa539e04858.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-briefs-true-blue/prid/524971"
"534256","534256","Pepe Jeans Innerfashion Everyday Men's Track Pants (Blue Melange)","1 unit","829","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/bbec4355-c8b6-4abe-9a63-e88d063b9997.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-track-pants-blue-melange/prid/534256"
"534264","534264","Pepe Jeans Innerfashion Everyday Men's Track Pants (Navy)","1 unit","839","1399","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/b42aaa48-b466-46a5-a4fd-6cc601097da8.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-track-pants-navy/prid/534264"
"534044","534044","Pepe Jeans Innerfashion Everyday Men's Trunks (Black)","1 pack (2 pieces)","539","599","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/cba3f74c-75a1-423d-9085-a5b1afc97ec2.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-trunks-black/prid/534044"
"524942","524942","Pepe Jeans Innerfashion Everyday Men's Trunks (Charcoal Melange)","1 pack (2 pieces)","539","579","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/4635b772-cf48-4de3-b8ff-50c886e15fff.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-trunks-charcoal-melange/prid/524942"
"524947","524947","Pepe Jeans Innerfashion Everyday Men's Trunks (Classic Blue)","1 pack (2 pieces)","539","579","In Stock","https://cdn.grofers.com/cdn-cgi/image/f=auto,fit=scale-down,q=70,metadata=none,w=360/da/cms-assets/cms/product/205c26d7-fbf2-4033-8f2a-6c7a0c9a637d.png","https://blinkit.com/prn/pepe-jeans-innerfashion-everyday-mens-trunks-classic-blue/prid/524947"
